Pedido;Cliente;Produto;Valor Venda;Quantidade Vendida;Custo Envio;Data Pedido
US-2014-166324;BE-11455;OFF-ST-10000078;848,544;4;84,32;13/12/2012
IN-2014-34317;AM-10705;TEC-PH-10003891;655,452;4;84,31;18/06/2014
CA-2011-115812;BH-11710;TEC-PH-10002033;911,424;4;84,28;08/01/2014
MX-2014-168480;FH-14350;FUR-BO-10004508;806,68;7;84,27;06/11/2014
MX-2012-113502;TC-20980;FUR-TA-10001740;1454,832;3;84,24;22/12/2014
MX-2013-169320;RB-19795;FUR-BO-10004425;780,3;3;84,22;02/12/2013
IN-2013-35969;SN-20560;FUR-CH-10000783;1409,76;3;84,21;13/08/2013
ES-2014-2385129;DB-13210;FUR-BO-10001039;1314,432;4;84,19;08/11/2012
IN-2012-81784;MY-17380;TEC-CO-10001301;286,848;2;84,15;06/06/2014
CA-2012-109638;JH-15985;TEC-AC-10004571;899,91;9;84,15;01/11/2013
IT-2014-4499061;RP-19270;TEC-CO-10004034;1076,406;4;84,05;17/10/2014
IR-2013-8520;MZ-7515;OFF-SME-10002740;396,9;2;84,03;25/12/2013
IN-2011-14941;DA-13450;OFF-AP-10003032;1136,94;2;84,02;11/11/2011
IN-2012-15830;DO-13645;TEC-MA-10004997;477,6;4;84,01;12/08/2014
IN-2011-67840;VG-21805;FUR-CH-10000660;911,04;2;83,97;22/03/2012
TU-2011-6790;MT-8070;OFF-HOO-10001881;1359,864;6;83,94;14/08/2014
IN-2014-63766;MK-18160;FUR-BO-10003029;1162,89;3;83,9;26/12/2013
US-2011-119137;AG-10900;TEC-AC-10003911;1023,936;8;83,9;12/11/2013
IT-2013-3655043;JH-15985;FUR-CH-10001429;1484,544;4;83,89;11/06/2014
ES-2014-2901069;BF-11170;TEC-CO-10000407;1209,45;5;83,89;25/01/2014
RO-2014-6420;NM-8445;OFF-FEL-10004665;829,32;4;83,89;13/08/2014
MX-2014-142510;SP-20545;FUR-BO-10003543;531,36;4;83,89;11/03/2014
MX-2014-165575;MY-17380;TEC-CO-10004690;478,8404;2;83,88;18/09/2014
CA-2014-132682;TH-21235;TEC-PH-10004042;381,576;3;83,87;30/07/2012
CA-2011-113257;SC-20305;TEC-AC-10004171;319,968;4;83,87;15/05/2014
IN-2014-54253;JF-15190;FUR-BO-10001147;853,65;5;83,82;19/09/2012
IR-2014-7930;JF-5355;OFF-BRE-10003295;603,42;2;83,82;15/11/2012
IN-2013-19008;HA-14905;FUR-BO-10001393;850,95;5;83,8;24/11/2014
ID-2014-64830;CR-12625;TEC-AC-10000053;951,8376;7;83,79;26/12/2014
US-2012-164609;LC-16885;FUR-BO-10003499;437,688;3;83,77;26/12/2014
ID-2014-48793;JA-15970;FUR-BO-10000243;1123,1703;9;83,77;18/06/2014
IT-2011-2568112;PB-18805;FUR-BO-10002318;743,904;2;83,75;08/08/2013
IN-2011-23530;AS-10285;TEC-PH-10004261;275,58;2;83,73;02/04/2013
EG-2014-460;AC-660;TEC-MOT-10003348;642,69;1;83,72;08/06/2012
IN-2012-48744;SS-20410;TEC-CO-10002197;888,4755;5;83,68;25/10/2012
CA-2013-139269;JB-16045;OFF-ST-10000689;1267,65;9;83,67;27/08/2013
ES-2014-4363806;SS-20590;OFF-AP-10000802;1533,9;5;83,64;19/12/2014
IN-2011-46413;RM-19375;FUR-FU-10000735;434,4;4;83,62;26/11/2011
IN-2012-36067;LD-17005;TEC-CO-10002057;950,4;4;83,61;18/12/2012
IN-2014-60840;CD-11920;TEC-MA-10002471;891,99;11;83,61;28/11/2014
US-2014-165001;SH-20395;FUR-BO-10002084;578,976;4;83,6;08/07/2013
ES-2014-2835815;SW-20275;TEC-AC-10003814;780,75;3;83,6;02/05/2014
CA-2014-101042;AB-10105;FUR-FU-10004665;821,88;6;83,56;24/12/2012
MX-2012-131870;SC-20305;TEC-AC-10000376;820,7;5;83,52;30/12/2011
ID-2013-70367;EK-13795;FUR-CH-10003419;236,97;4;83,48;28/06/2013
US-2011-148929;MS-17530;FUR-TA-10003522;523,602;3;83,45;12/09/2013
CA-2012-157770;RD-19585;TEC-AC-10001552;248,85;5;83,43;18/06/2012
MX-2014-137442;TB-21280;FUR-CH-10001114;269,64;7;83,42;26/11/2014
CA-2012-130890;JO-15280;FUR-TA-10002903;1038,84;5;83,41;26/12/2011
SF-2012-6960;RA-9285;FUR-SAU-10003928;435,45;1;83,41;19/09/2012
SA-2014-4990;RB-9330;OFF-FEL-10002867;1244,16;6;83,37;18/10/2013
ID-2011-77619;MK-18160;OFF-ST-10004576;283,26;4;83,34;26/06/2014
MX-2012-164819;KC-16675;OFF-ST-10001010;692,7;5;83,3;13/01/2011
ES-2012-3247635;TP-21130;OFF-ST-10003153;673,05;5;83,29;18/11/2014
IT-2011-3745230;BD-11500;FUR-CH-10003033;468,72;7;83,29;06/05/2011
RW-2014-680;BF-975;OFF-BIN-10000308;327,24;6;83,26;10/05/2014
ID-2011-23978;SS-20875;OFF-ST-10004608;492,1236;12;83,25;05/01/2012
US-2014-147886;DH-13075;TEC-MA-10004679;532,72;2;83,24;29/07/2011
IT-2014-1691611;GT-14635;FUR-BO-10000596;877,02;2;83,22;27/06/2013
IN-2011-75743;BE-11455;TEC-PH-10002217;554,76;3;83,22;03/06/2011
CA-2012-129322;DB-13405;OFF-BI-10001718;447,86;7;83,22;03/07/2014
CA-2014-113474;TM-21490;OFF-EN-10004206;325,86;2;83,2;11/12/2014
MX-2014-157336;NP-18685;TEC-CO-10001818;1182,8296;5;83,16;09/12/2014
US-2012-101301;BP-11290;TEC-CO-10004128;230,74428;3;83,15;20/01/2014
US-2013-142146;DK-12895;FUR-CH-10003109;400,848;7;83,15;31/03/2012
ES-2014-5791774;AG-10270;OFF-AR-10004739;323,82;6;83,14;02/08/2014
BN-2014-9200;PF-9165;TEC-SHA-10004874;1175,4;4;83,09;30/10/2013
MX-2012-110128;SZ-20035;OFF-AP-10000800;1123,08;3;83,09;09/08/2012
ES-2014-2756281;MW-18220;TEC-CO-10002174;729,99;3;83,06;21/07/2011
IN-2012-64424;TH-21115;FUR-BO-10001580;1106,46;9;83,06;25/08/2014
IN-2014-44089;DG-13300;FUR-CH-10004196;493,38;3;83,06;28/12/2011
US-2012-109736;JM-16195;TEC-CO-10000388;1063,9678;5;83,06;07/05/2013
ES-2011-3517120;GH-14485;OFF-ST-10004020;2858,52;14;83,05;03/08/2013
CA-2012-124450;GT-14710;FUR-CH-10000309;1267,53;3;83,04;22/11/2012
US-2012-139675;NF-18595;FUR-CH-10004063;915,136;4;83,04;05/12/2014
MX-2012-115693;BW-11200;TEC-PH-10002904;849,92;2;83,04;18/05/2011
MX-2013-120075;KN-16450;FUR-BO-10000567;697,584;3;83,04;26/11/2014
IN-2013-78809;AG-10900;OFF-ST-10000622;568,32;4;83,03;08/03/2012
IN-2013-22760;VT-21700;FUR-BO-10001212;1322,01;3;83,03;05/03/2014
SA-2012-4180;SV-10365;FUR-DAN-10000597;338,7;2;83,02;23/08/2014
ID-2013-61442;JB-16000;FUR-CH-10004863;496,53;4;83;18/12/2014
IN-2013-31083;RP-19270;TEC-CO-10001157;568,269;6;82,96;10/10/2014
IN-2014-44789;JB-15925;TEC-PH-10003572;261,48;4;82,96;25/09/2013
MX-2012-110569;BB-10990;TEC-AC-10003367;494,464;8;82,95;31/05/2014
ES-2014-1385362;KC-16255;FUR-CH-10000333;496,53;3;82,94;27/05/2011
ID-2014-20324;DM-13345;OFF-ST-10002395;740,775;7;82,92;10/10/2014
CA-2014-157273;SZ-20035;TEC-PH-10002275;604,768;4;82,91;04/07/2012
ID-2014-42297;JD-16060;OFF-AP-10001305;269,865;1;82,9;14/04/2011
EG-2014-3730;PW-9240;TEC-HP -10003894;720,42;2;82,89;13/11/2012
ID-2011-41058;RD-19660;FUR-CH-10001415;1409,04;3;82,85;13/12/2011
ID-2014-64914;AS-10285;FUR-TA-10000147;1048,194;6;82,81;18/06/2012
MX-2012-132157;TB-21250;FUR-BO-10000567;2615,94;9;82,81;28/06/2014
US-2014-117247;CK-12760;FUR-TA-10002958;652,45;5;82,79;09/09/2012
IN-2013-82323;PS-19045;FUR-CH-10004455;1440,96;8;82,77;11/07/2012
ES-2011-4815184;RB-19330;TEC-PH-10004823;636,06;1;82,75;14/12/2013
EG-2012-2260;LC-6930;TEC-LOG-10004405;1978,56;8;82,73;11/06/2013
IN-2014-30593;JF-15490;TEC-CO-10003506;1079,784;4;82,71;27/05/2014
IT-2013-3299073;SC-20695;FUR-CH-10004255;1107,432;3;82,7;27/08/2014
IN-2012-46889;LH-17020;OFF-PA-10004115;305,1;9;82,7;14/02/2014
CA-2011-157924;HA-14920;FUR-CH-10000229;433,568;2;82,68;02/05/2011
CA-2013-129714;AB-10060;OFF-BI-10004995;4355,168;4;82,67;08/08/2013
ES-2013-2708008;AR-10345;TEC-AC-10004070;1238,55;5;82,67;20/07/2012
MX-2011-131618;SM-20950;OFF-AP-10002433;372,28;2;82,67;25/03/2014
IT-2013-4047109;CC-12145;TEC-AC-10001100;741,96;3;82,61;13/11/2012
IN-2011-39175;NC-18625;FUR-CH-10002060;961,8;7;82,58;15/11/2011
IR-2012-3550;TB-11400;TEC-SAM-10001017;756,54;6;82,55;15/08/2013
ES-2012-1691714;BP-11230;TEC-PH-10004263;546,588;4;82,54;11/10/2014
US-2011-157840;BS-11755;FUR-TA-10001595;430,848;3;82,53;14/02/2014
ES-2013-4165099;BV-11245;TEC-AC-10001258;1026,24;4;82,5;03/04/2014
SF-2013-8920;JB-5400;FUR-NOV-10002333;319,2;4;82,5;28/05/2014
IN-2011-13030;PF-19120;TEC-CO-10002035;1017,522;3;82,47;08/08/2014
LE-2011-3430;CW-1905;FUR-HON-10001851;457,14;1;82,46;07/02/2013
RS-2011-3350;MM-8280;TEC-BRO-10002103;297,48;2;82,46;17/04/2014
ES-2014-1637041;DB-13555;OFF-SU-10000105;246,3;5;82,44;27/08/2013
ES-2012-3185515;VD-21670;TEC-PH-10002935;636,24;1;82,4;04/01/2014
CA-2013-114104;NP-18670;TEC-PH-10004536;944,93;7;82,39;19/03/2013
ES-2013-5431940;PT-19090;FUR-CH-10000966;534,6;8;82,38;18/12/2012
IN-2013-36697;RB-19465;TEC-PH-10001362;449,874;6;82,37;27/11/2014
IN-2013-28759;JD-15895;TEC-CO-10003354;637,08;2;82,37;09/09/2013
ES-2013-4882800;AS-10045;OFF-ST-10002659;302,4;7;82,36;08/07/2013
CA-2012-110765;MP-17965;TEC-PH-10004165;824,97;3;82,36;04/02/2012
CA-2014-121048;TC-21295;TEC-PH-10004977;470,376;3;82,35;28/05/2014
IN-2011-56346;NW-18400;FUR-FU-10000921;218,25;5;82,31;03/05/2014
IN-2012-34072;CM-12655;FUR-CH-10000608;347,8377;7;82,3;02/05/2011
CA-2011-5260;LC-7140;TEC-CAN-10003392;527,16;2;82,29;08/09/2014
CA-2014-101805;SH-19975;OFF-ST-10002756;541,24;4;82,27;11/03/2013
IT-2011-2011704;ED-13885;TEC-CO-10003474;712,65;5;82,24;25/12/2014
UP-2014-5040;HK-4890;FUR-SAU-10004053;788,4;4;82,24;13/09/2013
MX-2014-120733;JE-15745;TEC-AC-10001830;204,912;2;82,23;09/06/2014
MX-2013-144988;BN-11470;TEC-AC-10003955;683,256;7;82,19;14/09/2013
US-2014-103884;CR-12820;TEC-PH-10000106;765;3;82,18;17/12/2014
MX-2013-114153;DL-13495;OFF-AP-10003625;613,56;3;82,17;18/06/2014
ID-2014-75190;PP-18955;FUR-CH-10001684;1161,54;9;82,17;31/10/2012
CA-2011-115812;BH-11710;FUR-TA-10001539;1706,184;9;82,17;29/11/2011
US-2013-157945;NF-18385;FUR-CH-10002331;747,558;3;82,14;08/10/2011
IT-2013-5108540;BE-11455;OFF-ST-10004267;346,761;3;82,13;28/09/2013
MX-2014-157525;TA-21385;FUR-CH-10004795;783,72;7;82,12;12/09/2014
CA-2014-124765;HZ-14950;FUR-BO-10003965;723,92;5;82,08;03/12/2013
IN-2014-38629;PT-19090;FUR-CH-10004913;986,37;7;82,05;24/10/2013
TU-2013-6330;BT-1440;FUR-DAN-10002167;583,872;4;81,98;25/12/2014
ES-2013-3505557;LL-16840;FUR-BO-10004388;979,695;3;81,97;22/11/2013
CA-2013-132731;GA-14515;TEC-PH-10004120;657,552;6;81,96;21/08/2014
ID-2011-84402;SH-20395;OFF-ST-10004577;498,744;4;81,94;06/08/2013
MX-2014-145737;RD-19810;TEC-AC-10002629;465,24;6;81,93;20/04/2014
IN-2012-53042;FG-14260;FUR-BO-10003549;970,2;5;81,92;22/01/2014
IN-2014-14003;GH-14425;FUR-CH-10002890;341,55;5;81,92;28/10/2014
IN-2014-32770;AP-10720;TEC-CO-10003951;487,38;2;81,85;04/03/2014
CA-2013-162187;NS-18640;FUR-TA-10003008;328,59;3;81,83;03/06/2014
KE-2012-5260;EJ-3720;TEC-HP -10004149;967,56;4;81,83;25/02/2014
NI-2014-8510;KL-6645;TEC-NOK-10001283;382,41;2;81,83;23/11/2014
IT-2013-4281827;AB-10600;FUR-BO-10002892;1322,01;6;81,82;12/08/2013
IZ-2014-7130;PF-9165;TEC-HP -10002603;243,69;1;81,82;28/07/2014
ID-2014-74238;KH-16510;FUR-CH-10001207;344,5425;1;81,81;19/03/2011
US-2011-115077;PC-18745;OFF-AP-10002681;577,888;2;81,81;14/06/2014
ES-2014-3066003;GW-14605;TEC-CO-10002601;1137,2235;7;81,8;10/07/2012
CA-2011-146969;AP-10915;TEC-MA-10004241;686,32;2;81,78;03/12/2014
ID-2013-60896;JE-16165;TEC-PH-10003487;357,3648;6;81,76;02/01/2012
SA-2013-5320;VG-11805;OFF-CUI-10001670;536,43;1;81,74;17/01/2014
PL-2012-590;PF-9225;OFF-HAM-10001621;499,56;1;81,72;13/08/2011
IN-2013-66216;ME-17725;OFF-ST-10000103;397,8;2;81,69;31/01/2013
ID-2013-11322;PF-19165;TEC-PH-10001354;589,815;9;81,69;16/11/2012
MX-2013-153479;SC-20230;TEC-PH-10002774;1277,82;3;81,67;01/11/2012
ID-2011-25735;MD-17860;TEC-MA-10001726;287,4456;3;81,63;04/06/2012
US-2012-116925;TT-21265;TEC-PH-10000018;764,82;3;81,61;18/06/2013
IN-2014-40197;JH-15820;OFF-ST-10002395;351,339;2;81,61;26/06/2013
US-2012-134026;JE-15745;FUR-CH-10000513;831,936;8;81,61;12/08/2013
CA-2013-168753;RL-19615;TEC-PH-10000984;979,95;5;81,6;12/11/2014
US-2012-130512;SM-20320;OFF-ST-10002574;663,072;6;81,6;14/05/2011
ZA-2012-2040;AB-15;TEC-KON-10004774;1247,4;4;81,6;03/09/2014
IN-2014-19239;PL-18925;FUR-BO-10002289;248,82;2;81,57;19/09/2014
ES-2014-2416409;DP-13165;FUR-CH-10000857;911,358;7;81,56;14/10/2011
MX-2014-169607;BS-11665;FUR-BO-10004472;776;4;81,55;04/12/2014
ES-2013-4568481;CM-12160;TEC-MA-10000331;533,82;2;81,54;15/08/2013
CA-2011-108189;ES-14080;TEC-PH-10001760;318,4;2;81,54;04/03/2011
US-2011-119557;HM-14980;TEC-PH-10004196;766,8;3;81,51;03/12/2014
ES-2014-3229561;GM-14695;FUR-TA-10001664;1745,34;2;81,48;11/06/2014
IN-2013-60546;SP-20920;TEC-MA-10003553;1078,0455;5;81,42;15/12/2014
MX-2014-165449;GT-14635;TEC-CO-10002768;1173,0492;6;81,41;07/05/2011
IN-2013-25112;Co-12640;FUR-CH-10003950;457,95;1;81,4;16/05/2014
ID-2012-43900;JB-16045;FUR-CH-10004491;497,6556;4;81,39;21/11/2014
CA-2011-131926;DW-13480;FUR-CH-10004063;2001,86;7;81,39;27/05/2011
ES-2012-2281296;AB-10600;OFF-BI-10001808;492,3;10;81,34;08/11/2012
IN-2014-12911;DP-13105;TEC-CO-10003570;637,416;2;81,29;22/01/2013
MA-2013-5150;EM-4095;FUR-IKE-10001539;826,2;2;81,28;07/06/2013
MX-2012-109134;EA-14035;FUR-BO-10002142;439,2;2;81,27;23/12/2013
IN-2012-40799;AR-10345;TEC-MA-10002780;628,44;2;81,27;29/05/2014
US-2012-157154;MM-17920;FUR-TA-10001889;1018,104;4;81,27;20/09/2014
IZ-2011-4680;LW-6990;FUR-NOV-10002791;666,84;4;81,26;08/03/2012
ES-2011-3341008;AH-10210;TEC-CO-10002269;379,287;3;81,24;23/08/2012
MX-2013-111010;AG-10900;FUR-TA-10000750;551,872;2;81,22;09/01/2014
RO-2011-2500;PS-8970;FUR-TEN-10000986;880,32;8;81,21;20/12/2013
CA-2013-157280;LW-17125;FUR-FU-10003806;756,8;5;81,2;10/05/2013
IT-2014-1525267;KH-16690;FUR-CH-10000399;1327,2;8;81,18;09/01/2013
IN-2011-45867;KC-16255;TEC-CO-10001703;785,79;5;81,18;13/08/2013
ES-2013-4721019;CD-12280;FUR-CH-10003365;837;2;81,13;16/01/2012
IN-2013-49612;ME-17320;TEC-CO-10000791;864;8;81,13;15/10/2013
MX-2014-140613;PS-18970;FUR-BO-10001295;524,64;4;81,12;10/09/2011
IT-2013-4869515;JL-15835;OFF-AP-10003717;756;14;81,09;24/12/2012
MX-2013-149090;CS-11860;TEC-CO-10002998;496,64472;6;81,09;20/09/2013
ES-2012-3710236;AJ-10960;TEC-CO-10003516;367,83;3;81,06;05/10/2012
MX-2011-157049;BD-11560;OFF-AP-10002822;284,4;5;81,05;12/02/2013
MX-2014-132703;CJ-12010;FUR-CH-10004011;734,4;3;81,04;17/04/2012
IN-2014-60413;RP-19390;TEC-MA-10002468;1164,375;5;81,03;22/07/2014
ES-2012-2412421;JP-15520;FUR-BO-10004585;769,176;6;81,02;05/12/2011
PU-2014-730;TS-11340;TEC-BEL-10003985;517,92;2;81,01;30/12/2013
ID-2013-30544;CL-12700;FUR-TA-10004957;460,1688;2;80,98;01/12/2012
IT-2011-2159764;JS-15685;FUR-BO-10001287;506,43;3;80,97;22/12/2012
IT-2013-3698036;JD-16150;FUR-TA-10003527;940,914;3;80,97;15/11/2013
IN-2013-33995;AR-10540;TEC-CO-10003982;247,455;3;80,95;06/06/2012
US-2011-148838;CP-12340;FUR-TA-10001950;1071,576;4;80,94;30/05/2012
IN-2011-71739;FW-14395;TEC-CO-10003924;958,68;3;80,93;28/12/2011
CA-2014-119452;CL-12565;FUR-CH-10004495;1805,88;6;80,82;25/09/2014
CA-2014-161053;JE-15745;OFF-BI-10004318;691,96;4;80,81;01/04/2014
MO-2014-5660;MC-7590;TEC-MEM-10004524;415,08;4;80,8;16/12/2012
US-2011-140116;KT-16480;OFF-ST-10000078;636,408;3;80,79;08/12/2011
CA-2013-113831;AH-10690;TEC-AC-10003033;1979,7;6;80,79;02/07/2012
TS-2013-9630;BP-1230;OFF-FEL-10001630;831,24;4;80,78;13/06/2012
ES-2014-4472745;BW-11110;FUR-FU-10003862;688,74;13;80,77;24/08/2011
CA-2011-140396;KH-16330;TEC-PH-10004447;833,94;6;80,77;15/03/2014
MX-2014-163517;JD-16150;FUR-FU-10002696;377,6;5;80,74;30/10/2013
MX-2011-134488;JO-15550;FUR-TA-10002235;500,576;2;80,71;25/08/2014
ES-2014-1029595;RD-19720;OFF-ST-10003785;890,595;5;80,71;21/08/2013
ES-2011-3893444;TB-21400;OFF-AP-10002568;364,416;8;80,67;10/12/2014
IN-2011-44803;JK-15325;FUR-CH-10004572;246,48;4;80,66;11/05/2013
IN-2014-22774;BW-11065;TEC-AC-10004938;664,767;3;80,66;24/07/2013
ES-2014-1354154;NS-18640;TEC-MA-10002043;1269,84;11;80,65;03/08/2011
IN-2014-51824;PG-18895;TEC-MA-10003170;514,2348;12;80,63;23/02/2013
IN-2014-45216;TH-21115;TEC-PH-10000169;639,06;1;80,63;26/12/2014
IN-2011-24349;EH-13990;FUR-BO-10001679;555,516;6;80,63;31/10/2014
MX-2011-151694;MJ-17740;TEC-CO-10000222;339,39984;3;80,62;20/05/2014
MX-2014-156839;RE-19405;OFF-ST-10002822;799,2;9;80,62;21/01/2012
CA-2013-150350;MS-17770;TEC-MA-10001972;837,6;3;80,61;10/04/2013
US-2014-101651;SC-20695;OFF-ST-10002930;634,848;8;80,6;05/11/2013
TU-2013-4780;JH-5910;TEC-BRO-10004184;912,6;6;80,55;19/04/2013
MX-2012-132038;TC-21145;OFF-EN-10003675;435,12;14;80,55;09/07/2013
MX-2011-102988;NW-18400;FUR-TA-10000637;1474,128;3;80,53;30/03/2012
ES-2013-2680932;MD-17860;TEC-MA-10002918;437,157;3;80,51;15/04/2013
ES-2011-3614277;SL-20155;TEC-CO-10004042;1894,05;5;80,49;21/05/2012
UP-2013-510;BT-1440;TEC-ENE-10000154;516,66;2;80,49;18/08/2014
ES-2014-5081971;CC-12145;TEC-MA-10003923;369,09;3;80,47;15/05/2014
US-2013-146570;SN-20710;OFF-BI-10001718;511,84;8;80,47;18/12/2013
SA-2012-3230;RP-9855;FUR-SAF-10002180;461,43;1;80,46;23/03/2013
MX-2013-100538;CA-12310;FUR-CH-10003514;637,184;8;80,43;22/01/2011
IN-2013-70045;GH-14665;TEC-AC-10004334;661,851;3;80,43;15/03/2011
IN-2011-60196;PG-18895;OFF-EN-10003550;286,8;8;80,38;02/10/2012
IN-2012-44691;FM-14380;TEC-AC-10000317;471,96;5;80,36;19/11/2014
RS-2012-7220;GW-4605;TEC-EPS-10002523;336,72;2;80,34;01/06/2013
MX-2011-158204;DV-13465;TEC-CO-10000956;477,12384;3;80,32;24/06/2014
MX-2013-153430;SL-20155;TEC-AC-10004743;330,04;2;80,31;09/10/2013
US-2013-167129;SC-20050;TEC-CO-10004904;941,77824;8;80,28;04/01/2013
IN-2014-58733;AJ-10960;FUR-BO-10002510;607,824;4;80,27;20/02/2012
CA-2014-137631;JL-15235;TEC-PH-10002624;751,984;2;80,27;23/01/2012
ID-2013-37964;SW-20275;FUR-FU-10004780;594,54;6;80,25;19/08/2014
IT-2011-2226067;AG-10330;OFF-ST-10002706;272,76;2;80,24;16/05/2012
IT-2014-1619782;MB-17305;OFF-AP-10001266;523,341;7;80,17;09/09/2011
MX-2013-146766;TB-21595;FUR-CH-10004993;537,4;5;80,16;22/08/2014
EG-2011-4260;SJ-10125;FUR-CHR-10004803;967,98;2;80,13;27/01/2012
MX-2013-107398;MP-18175;FUR-CH-10000836;340,86;3;80,12;20/11/2012
ES-2011-5940123;MC-18130;TEC-AC-10000140;805,56;14;80,12;16/11/2011
RS-2014-2670;TB-11520;TEC-HEW-10004690;764,28;4;80,12;05/09/2014
IN-2013-29676;SS-20515;FUR-CH-10003232;1375,8456;4;80,1;05/11/2012
CA-2013-162187;NS-18640;FUR-CH-10003298;458,43;5;80,09;10/06/2014
CA-2014-159464;TB-21355;FUR-BO-10003546;302,94;3;80,08;01/07/2012
MO-2014-6930;TC-11145;OFF-ELI-10001351;259,74;6;80,08;22/08/2014
ES-2014-2689172;AF-10870;FUR-CH-10002991;228,744;3;80,06;21/02/2011
IN-2011-68687;PO-18865;OFF-AP-10001824;543,456;9;80,06;08/10/2012
IN-2014-84843;JG-15805;FUR-CH-10002589;857,1;10;80,04;29/09/2014
IN-2012-71200;TP-21415;TEC-CO-10003777;730,6173;3;79,95;24/10/2013
CA-2014-116988;PW-19030;TEC-AC-10003832;1287,45;5;79,95;02/10/2014
MX-2014-142076;CJ-11875;OFF-AP-10002425;666,08;2;79,94;25/12/2012
IT-2013-3876705;RB-19645;TEC-CO-10000011;612,45;5;79,93;11/09/2014
ES-2013-2664096;AJ-10960;TEC-PH-10001937;428,4765;3;79,91;22/02/2014
IN-2011-56451;FM-14290;TEC-MA-10002340;1085,94;9;79,9;22/08/2014
IN-2012-35143;RO-19780;TEC-MA-10000555;683,88;4;79,9;17/06/2013
ID-2014-44271;BG-11695;TEC-PH-10002991;1056,1086;2;79,87;17/08/2012
ID-2014-62422;LC-16870;TEC-CO-10004981;1171,53;5;79,84;07/11/2012
US-2013-159870;JR-15700;TEC-AC-10002153;275,68;10;79,83;10/08/2012
CA-2012-123232;DJ-13630;TEC-PH-10001051;319,968;4;79,8;15/01/2013
ES-2014-2769035;RH-19495;TEC-PH-10001708;773,7975;5;79,79;11/10/2012
IN-2014-78900;JF-15190;FUR-FU-10001477;651,96;6;79,75;10/07/2014
ES-2013-2905051;DK-13375;TEC-AC-10002017;450,48;4;79,74;21/06/2012
IN-2012-26652;HJ-14875;OFF-AP-10002134;308,745;5;79,74;05/12/2012
CA-2013-127775;ES-14020;TEC-AC-10002402;239,97;3;79,71;23/12/2014
US-2012-108966;SO-20335;FUR-TA-10000577;957,5775;5;79,69;16/07/2014
CA-2014-163006;GH-14410;TEC-PH-10002584;1001,584;2;79,67;07/01/2013
IV-2014-5410;BP-1050;TEC-CAN-10004556;765,36;4;79,65;05/09/2013
CA-2013-132304;AR-10825;FUR-TA-10004619;1115,17;7;79,63;10/06/2014
ID-2012-42724;CD-11980;TEC-PH-10000169;1725,462;3;79,62;19/09/2013
IN-2013-38566;JS-16030;FUR-BO-10002736;924,966;7;79,61;21/05/2013
IN-2014-29669;EM-13960;FUR-CH-10003861;292,7592;3;79,6;04/03/2013
MX-2014-123575;KT-16465;OFF-AP-10001406;1495,92;4;79,6;03/09/2013
IN-2014-47337;VB-21745;TEC-PH-10002806;500,94;3;79,59;14/11/2013
IN-2012-51173;TC-21145;TEC-CO-10001775;640,656;2;79,57;05/11/2013
ES-2012-5053352;JM-15865;OFF-SU-10003556;263,52;6;79,56;11/06/2012
CA-2014-125451;AH-10075;FUR-FU-10000277;210,68;2;79,52;24/12/2012
IS-2011-1180;CM-2445;FUR-ELD-10003131;453,12;4;79,49;17/12/2012
IN-2014-35899;GH-14665;FUR-BO-10003793;449,9145;5;79,47;06/02/2012
ID-2014-53623;DS-13180;FUR-BO-10001874;1105,956;8;79,47;22/10/2014
RS-2011-2200;PG-8895;OFF-HOO-10004243;616,14;2;79,47;15/11/2011
IN-2014-28640;JD-15895;FUR-CH-10000258;468,6381;7;79,46;18/11/2013
IN-2013-83289;JP-16135;TEC-PH-10001360;1275;2;79,45;13/11/2012
IN-2012-72229;DM-12955;TEC-MA-10004421;846,612;3;79,44;10/11/2014
MX-2012-133375;TC-21535;OFF-AR-10001192;210,48;6;79,43;24/11/2012
IZ-2013-2240;BD-1725;OFF-KIT-10004058;568,29;1;79,43;28/11/2013
IN-2014-44719;GM-14455;TEC-CO-10003901;725,67;3;79,42;01/11/2013
RS-2011-2850;MW-8220;OFF-HOO-10000445;525,69;1;79,42;17/11/2014
ES-2011-3341008;AH-10210;OFF-BI-10003616;676,2;14;79,41;04/09/2014
IN-2012-39336;AG-10765;OFF-AP-10002090;830,2158;2;79,41;05/11/2014
MX-2014-153584;KE-16420;FUR-CH-10004095;927,84;3;79,4;08/07/2014
ES-2014-2938679;KD-16495;TEC-AC-10001056;776,88;3;79,39;18/01/2013
IN-2013-61288;FW-14395;FUR-TA-10001786;940,0716;4;79,39;12/11/2014
MX-2013-141768;JM-15580;TEC-AC-10000883;189,98;7;79,38;12/07/2012
MX-2014-133830;PS-18970;OFF-EN-10003939;187,68;6;79,38;14/03/2012
ES-2014-4087068;GH-14485;TEC-CO-10001839;1157,22;6;79,37;17/12/2013
IT-2014-1008900;PG-18895;FUR-BO-10002182;396,18;4;79,35;17/03/2014
CA-2012-120362;CA-12265;FUR-TA-10003008;912,75;5;79,29;15/11/2014
CA-2011-120838;PO-18865;TEC-PH-10003484;604,752;6;79,27;04/06/2012
MX-2012-165764;AA-10480;FUR-CH-10001332;1252,48;5;79,25;12/12/2012
MX-2013-162390;RM-19750;TEC-CO-10001264;692,03316;7;79,23;30/09/2014
ES-2011-4145029;Co-12640;OFF-AR-10003066;317,16;12;79,23;19/04/2011
